Alert: Arbitrage Bot started!
ETH-USDT: $4399.35 | Bid: $4399.35 | Ask: $4399.36
SOL-USDT: $187.28 | Bid: $187.28 | Ask: $187.29
BTC-USDT: $116516 | Bid: $116515.8 | Ask: $116515.9
ETH-USDT: $4398.44 | Bid: $4398.44 | Ask: $4398.45
SOL-USDT: $187.27 | Bid: $187.28 | Ask: $187.29
BTC-USDT: $116483.7 | Bid: $116483.6 | Ask: $116483.7
ETH-USDT: $4397 | Bid: $4396.91 | Ask: $4396.92
SOL-USDT: $187.17 | Bid: $187.17 | Ask: $187.18
BTC-USDT: $116457.4 | Bid: $116457.3 | Ask: $116457.4
ETH-USDT: $4397.3 | Bid: $4397.1 | Ask: $4397.11
SOL-USDT: $187.17 | Bid: $187.17 | Ask: $187.18
BTC-USDT: $116422 | Bid: $116421.9 | Ask: $116422
ETH-USDT: $4397.2 | Bid: $4397.17 | Ask: $4397.25
SOL-USDT: $187.31 | Bid: $187.31 | Ask: $187.32
BTC-USDT: $116532 | Bid: $116531.9 | Ask: $116532
ETH-USDT: $4404.08 | Bid: $4404.28 | Ask: $4404.29
SOL-USDT: $187.62 | Bid: $187.63 | Ask: $187.64
BTC-USDT: $116545.5 | Bid: $116545.5 | Ask: $116545.6
ETH-USDT: $4406 | Bid: $4406.19 | Ask: $4406.3
SOL-USDT: $187.65 | Bid: $187.65 | Ask: $187.66
BTC-USDT: $116463.4 | Bid: $116463.4 | Ask: $116463.5
ETH-USDT: $4404.69 | Bid: $4404.88 | Ask: $4404.89
SOL-USDT: $187.59 | Bid: $187.59 | Ask: $187.6
BTC-USDT: $116438 | Bid: $116437.9 | Ask: $116438
ETH-USDT: $4401.74 | Bid: $4401.73 | Ask: $4401.85
SOL-USDT: $187.53 | Bid: $187.57 | Ask: $187.58
BTC-USDT: $116420 | Bid: $116420 | Ask: $116420.1
ETH-USDT: $4399.56 | Bid: $4399.41 | Ask: $4399.42
SOL-USDT: $187.55 | Bid: $187.54 | Ask: $187.55
BTC-USDT: $116407.2 | Bid: $116407.1 | Ask: $116407.2
ETH-USDT: $4399.57 | Bid: $4399.56 | Ask: $4399.57
SOL-USDT: $187.53 | Bid: $187.53 | Ask: $187.54
BTC-USDT: $116407.2 | Bid: $116407.1 | Ask: $116407.2
ETH-USDT: $4399.9 | Bid: $4399.89 | Ask: $4399.9
SOL-USDT: $187.6 | Bid: $187.59 | Ask: $187.6
BTC-USDT: $116442 | Bid: $116441.9 | Ask: $116442
